Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
22-05-2024,14:37,22-05-2024,AVANCE GAS HOLDING LTD,BMG067231032,Costes de transacción y/o externos de DEGIRO,,EUR,-3.90,EUR,2111.16,ff316f11-0283-4e3b-a155-0e56b3ee0176
22-05-2024,14:37,22-05-2024,AVANCE GAS HOLDING LTD,BMG067231032,"Compra 17 Avance Gas Holding Ltd@17,8 EUR (BMG067231032)",,EUR,-302.60,EUR,2115.06,ff316f11-0283-4e3b-a155-0e56b3ee0176
07-05-2024,11:45,06-05-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 472,99 EUR",,,,EUR,2417.66,
07-05-2024,11:45,06-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-472.99,EUR,1944.67,
06-05-2024,15:26,06-05-2024,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,2417.66,20a41c67-5db6-47fd-8b2d-462abc47b204
06-05-2024,15:26,06-05-2024,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,"Venta 111 International Consolidated Airlines Group SA@2,13 EUR (ES0177542018)",,EUR,236.43,EUR,2419.66,20a41c67-5db6-47fd-8b2d-462abc47b204
06-05-2024,15:26,06-05-2024,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,"Venta 112 International Consolidated Airlines Group SA@2,",,EUR,238.56,EUR,2183.23,20a41c67-5db6-47fd-
,,,,,13 EUR (ES0177542018),,,,,,8b2d-462abc47b204
16-04-2024,00:30,15-04-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,41 EUR",,,,EUR,1944.67,
16-04-2024,00:30,15-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.41,EUR,1944.26,
13-04-2024,06:46,12-04-2024,,,Ingreso Cambio de Divisa,,EUR,0.41,EUR,1944.67,
13-04-2024,06:46,12-04-2024,,,Retirada Cambio de Divisa,1.0669,USD,-0.44,USD,0.00,
12-04-2024,07:21,11-04-2024,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,Retención del dividendo,,USD,-0.11,USD,0.44,
12-04-2024,07:21,11-04-2024,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,Dividendo,,USD,0.55,USD,0.55,
05-04-2024,18:15,05-04-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,76 EUR",,,,EUR,1944.26,
05-04-2024,18:15,05-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.76,EUR,1941.50,
05-04-2024,07:09,04-04-2024,,,Ingreso Cambio de Divisa,,EUR,2.76,EUR,1944.26,
05-04-2024,07:09,04-04-2024,,,Retirada Cambio de Divisa,1.0864,USD,-3.00,USD,0.00,
05-04-2024,05:51,04-04-2024,DOLE PLC,IE0003LFZ4U7,Retención del dividendo,,USD,-1.00,USD,3.00,
05-04-2024,05:51,04-04-2024,DOLE PLC,IE0003LFZ4U7,Dividendo,,USD,4.00,USD,4.00,
04-04-2024,23:02,03-04-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 6,19 EUR",,,,EUR,1941.50,
04-04-2024,23:02,03-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-6.19,EUR,1935.31,
03-04-2024,21:19,02-04-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 3,08 EUR",,,,EUR,1941.50,
03-04-2024,21:19,02-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.08,EUR,1938.42,
03-04-2024,10:00,01-04-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 3,08 EUR",,,,EUR,1941.50,
03-04-2024,10:00,01-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.08,EUR,1938.42,
03-04-2024,07:47,02-04-2024,EBRO FOODS,ES0112501012,Dividendo,,EUR,11.44,EUR,1941.50,
03-04-2024,07:47,02-04-2024,EBRO FOODS,ES0112501012,Retención del dividendo,,EUR,-2.17,EUR,1930.06,
02-04-2024,08:20,31-03-2024,,,Flatex Interest Income,,EUR,0.00,EUR,1932.23,
29-03-2024,07:56,28-03-2024,,,Ingreso Cambio de Divisa,,EUR,3.08,EUR,1932.23,
29-03-2024,07:56,28-03-2024,,,Retirada Cambio de Divisa,1.0816,USD,-3.33,USD,0.00,
28-03-2024,08:19,27-03-2024,VANGUARD S&P 500 UCITS ETF USD,IE00B3XXRP09,Dividendo,,USD,3.33,USD,3.33,
06-03-2024,00:30,05-03-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 109,8 EUR",,,,EUR,1929.15,
06-03-2024,00:30,05-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-109.80,EUR,1819.35,
05-03-2024,09:06,05-03-2024,PESCANOVA SA,ES0169350016,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,1929.15,1f3d306b-f770-4085-9ccf-1e5b4564dc2e
05-03-2024,09:06,05-03-2024,PESCANOVA SA,ES0169350016,"Venta 260 Pescanova SA@0,43 EUR (ES0169350016)",,EUR,111.80,EUR,1931.15,1f3d306b-f770-4085-9ccf-1e5b4564dc2e
01-03-2024,13:45,29-02-2024,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 187,68 EUR",,,,EUR,1819.35,
01-03-2024,13:45,29-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,187.68,EUR,2007.03,
29-02-2024,17:05,29-02-2024,COINBASE GLOBAL INC,US19260Q1076,Ingreso Cambio de Divisa,1.0795,USD,200.44,USD,0.00,1a1c48b2-e275-452b-8d2a-ad70a4b6663e
29-02-2024,17:05,29-02-2024,COINBASE GLOBAL INC,US19260Q1076,Retirada Cambio de Divisa,,EUR,-185.68,EUR,1819.35,1a1c48b2-e275-452b-8d2a-ad70a4b6663e
29-02-2024,17:05,29-02-2024,COINBASE GLOBAL INC,US19260Q1076,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,2005.03,1a1c48b2-e275-452b-8d2a-ad70a4b6663e
29-02-2024,17:05,29-02-2024,COINBASE GLOBAL INC,US19260Q1076,"Compra 1 Coinbase Global Inc@200,44 USD (US19260Q1076)",,USD,-200.44,USD,-200.44,1a1c48b2-e275-452b-8d2a-ad70a4b6663e
28-02-2024,11:30,27-02-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 415,35 EUR",,,,EUR,2007.03,
28-02-2024,11:30,27-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-415.35,EUR,1591.68,
27-02-2024,15:38,27-02-2024,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,2007.03,7e7309a5-dbb3-4bbc-9d2e-4220924f42df
27-02-2024,15:38,27-02-2024,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,"Venta 225 International Consolidated Airlines Group SA@1,821 EUR (ES0177542018)",,EUR,409.73,EUR,2009.03,7e7309a5-dbb3-4bbc-9d2e-4220924f42df
27-02-2024,15:38,27-02-2024,INTERNATIONAL CONSOLIDATED AIRLINES,ES0177542018,"Venta 225 International Consolidated Airlines Group SA@1,821 EUR (ES0177542018)",,EUR,409.73,EUR,1599.30,7e7309a5-dbb3-4bbc-9d2e-4220924f42df
27-02-2024,15:08,27-02-2024,ENAGAS,ES0130960018,Spanish Transaction Tax,,EUR,-0.40,EUR,1189.58,4dce49a8-9f61-4f28-9f1b-76b63226998d
27-02-2024,15:08,27-02-2024,ENAGAS,ES0130960018,Spanish Transaction Tax,,EUR,-0.40,EUR,1189.98,4dce49a8-9f61-4f28-9f1b-76b63226998d
27-02-2024,15:08,27-02-2024,ENAGAS,ES0130960018,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,1190.38,4dce49a8-9f61-4f28-9f1b-76b63226998d
27-02-2024,15:08,27-02-2024,ENAGAS,ES0130960018,"Compra 15 Enagas@13,31 EUR (ES0130960018)",,EUR,-199.65,EUR,1192.38,4dce49a8-9f61-4f28-9f1b-76b63226998d
27-02-2024,15:08,27-02-2024,ENAGAS,ES0130960018,"Compra 15 Enagas@13,31 EUR (ES0130960018)",,EUR,-199.65,EUR,1392.03,4dce49a8-9f61-4f28-9f1b-76b63226998d
05-02-2024,22:46,05-02-2024,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 12,5 EUR",,,,EUR,1591.68,
05-02-2024,22:46,05-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,12.50,EUR,1604.18,
05-02-2024,07:17,31-01-2024,,,Comisión de conectividad con el mercado 2024 (New York Stock Exchange - NSY),,EUR,-2.50,EUR,1591.68,
05-02-2024,07:17,31-01-2024,,,Comisión de conectividad con el mercado 2024 (Nasdaq - NDQ),,EUR,-2.50,EUR,1594.18,
05-02-2024,07:17,31-01-2024,,,Comisión de conectividad con el mercado 2024 (Euronext Amsterdam - EAM),,EUR,-2.50,EUR,1596.68,
05-02-2024,07:17,31-01-2024,,,Comisión de conectividad con el mercado 2024 (Tradegate AG - TDG),,EUR,-2.50,EUR,1599.18,
05-02-2024,07:17,31-01-2024,,,Comisión de conectividad con el mercado 2024 (Xetra - XET),,EUR,-2.50,EUR,1601.68,
30-01-2024,16:45,30-01-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 23,85 EUR",,,,EUR,1604.18,
30-01-2024,16:45,30-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-23.85,EUR,1580.33,
30-01-2024,04:51,26-01-2024,ACERINOX,ES0132105018,Retención del dividendo,,EUR,-5.60,EUR,1604.18,
30-01-2024,04:51,26-01-2024,ACERINOX,ES0132105018,Dividendo,,EUR,29.45,EUR,1609.78,
25-01-2024,10:45,24-01-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 431,3 EUR",,,,EUR,1580.33,
25-01-2024,10:45,24-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-431.30,EUR,1149.03,
24-01-2024,17:05,24-01-2024,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,Costes de transacción y/o externos de DEGIRO,,EUR,-3.90,EUR,1580.33,603fe050-3fdb-45f2-b1e2-94953f62a80b
24-01-2024,17:05,24-01-2024,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,"Venta 4 ADR on Taiwan Semiconductor Manufacturing Co Ltd@108,8 EUR (US8740391003)",,EUR,435.20,EUR,1584.23,603fe050-3fdb-45f2-b1e2-94953f62a80b
15-01-2024,16:30,15-01-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,74 EUR",,,,EUR,1149.03,
15-01-2024,16:30,15-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.74,EUR,1147.29,
13-01-2024,07:07,12-01-2024,,,Ingreso Cambio de Divisa,,EUR,1.74,EUR,1149.03,
13-01-2024,07:07,12-01-2024,,,Retirada Cambio de Divisa,1.0978,USD,-1.91,USD,0.00,
12-01-2024,07:31,11-01-2024,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,Retención del dividendo,,USD,-0.51,USD,1.91,
12-01-2024,07:31,11-01-2024,ADR ON TAIWAN SEMICONDUCTOR,US8740391003,Dividendo,,USD,2.42,USD,2.42,
09-01-2024,17:02,09-01-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 11,05 EUR",,,,EUR,1147.29,
09-01-2024,17:02,09-01-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-11.05,EUR,1136.24,
09-01-2024,07:46,05-01-2024,REDEIA,ES0173093024,Dividendo,,EUR,13.64,EUR,1147.29,
09-01-2024,07:46,05-01-2024,REDEIA,ES0173093024,Retención del dividendo,,EUR,-2.59,EUR,1133.65,
08-01-2024,16:47,08-01-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 2,73 EUR",,,,EUR,1136.24,
