Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
27-02-2024,15:08,ENAGAS SA,ES0130960018,MAD,XMAD,15,13.3100,EUR,-199.65,EUR,-199.65,EUR,,-2.00,EUR,-201.65,EUR,4dce49a8-9f61-4f28-9f1b-76b63226998d
24-01-2024,17:05,ADR ON TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,US8740391003,TDG,XGAT,-4,108.8000,EUR,435.20,EUR,435.20,EUR,,-3.90,EUR,431.30,EUR,603fe050-3fdb-45f2-b1e2-94953f62a80b
02-01-2024,09:00,IBERDROLA,ES0144580Y14,MAD,XMAD,-42,12.0000,EUR,504.00,EUR,504.00,EUR,,-2.00,EUR,502.00,EUR,c464c4c9-671a-453f-b254-07fed9da3021
02-10-2023,15:41,ENAGAS SA,ES0130960018,MAD,XMAD,16,15.5100,EUR,-248.16,EUR,-248.16,EUR,,-2.00,EUR,-250.16,EUR,905c4673-a0ea-48d6-8826-54908275ff63
21-09-2023,08:00,NINTENDO CO LTD,JP3756600007,TDG,XGAT,8,39.4300,EUR,-315.44,EUR,-315.44,EUR,,-3.90,EUR,-319.34,EUR,f1c72517-cdd0-48f1-a11b-a70e85cb57c5
07-09-2023,09:04,VANGUARD S&P500,IE00B3XXRP09,EAM,XAMS,5,78.9550,EUR,-394.78,EUR,-394.78,EUR,,-1.00,EUR,-395.78,EUR,2a7dacc2-32fd-4e71-8830-55d5fce714b5
31-07-2023,15:36,ADR ON TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,US8740391003,TDG,XGAT,5,89.9000,EUR,-449.50,EUR,-449.50,EUR,,-3.90,EUR,-453.40,EUR,0f5dfad1-44a4-4c7f-8b97-f944522d221f
28-07-2023,15:56,INT.AIRL.GRP,ES0177542018,MAD,XMAD,-140,1.9200,EUR,268.80,EUR,268.80,EUR,,-2.00,EUR,266.80,EUR,b5ad9fca-8496-495b-a3ea-0da73dd219f8
12-07-2023,09:27,IBERDROLA SA-RTS,ES06445809Q1,MAD,XMAD,-36,0.3020,EUR,10.87,EUR,10.87,EUR,,,EUR,10.87,EUR,2816c1cc-bea7-40c9-9078-d49ba4065443
12-07-2023,09:27,IBERDROLA SA-RTS,ES06445809Q1,MAD,XMAD,-1,0.3020,EUR,0.30,EUR,0.30,EUR,,,EUR,0.30,EUR,2816c1cc-bea7-40c9-9078-d49ba4065443
12-07-2023,09:27,IBERDROLA SA-RTS,ES06445809Q1,MAD,XMAD,-5,0.3020,EUR,1.51,EUR,1.51,EUR,,-2.00,EUR,-0.49,EUR,2816c1cc-bea7-40c9-9078-d49ba4065443
07-07-2023,00:00,IBERDROLA SA-RTS,ES06445809Q1,MAD,,42,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
29-06-2023,17:11,ENDESA SA,ES0130670112,MAD,MESI,25,19.6650,EUR,-491.63,EUR,-491.63,EUR,,-2.00,EUR,-493.63,EUR,f47528e3-d859-4327-ab58-77e05c538826
29-06-2023,17:08,SANTANDER,ES0113900J37,MAD,MESI,-100,3.3465,EUR,334.65,EUR,334.65,EUR,,-2.00,EUR,332.65,EUR,63185622-b01d-4cdc-9114-4796ec01c95b
29-06-2023,13:11,REDEIA CORPORACION SA,ES0173093024,MAD,AQEU,14,15.3200,EUR,-214.48,EUR,-214.48,EUR,,,EUR,-214.48,EUR,3ce42014-9a67-497a-aefa-87703d2fab77
